status	old_path	new_path	additions	deletions	section
A		docs/01-app/03-api-reference/05-config/01-next-config-js/reactCompiler.mdx	86	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/reactMaxHeadersLength.mdx	16	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/reactStrictMode.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/reactStrictMode.mdx	1	1	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/redirects.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/redirects.mdx	53	10	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/rewrites.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/rewrites.mdx	26	26	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/sassOptions.mdx	49	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/serverActions.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/serverActions.mdx	0	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/serverComponentsHmrCache.mdx	36	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/serverExternalPackages.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/serverExternalPackages.mdx	25	3	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/staleTimes.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/staleTimes.mdx	12	13	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/staticGeneration.mdx	41	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/taint.mdx	226	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/trailingSlash.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/trailingSlash.mdx	10	3	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/transpilePackages.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/transpilePackages.mdx	0	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/turbopack.mdx	314	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/turbopackFileSystemCache.mdx	48	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/typedRoutes.mdx	17	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/typescript.mdx	58	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/urlImports.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/urlImports.mdx	5	5	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/useLightningcss.mdx	41	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/viewTransition.mdx	38	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/webVitalsAttribution.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/webVitalsAttribution.mdx	5	2	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/webpack.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/webpack.mdx	14	14	app/api-reference
A		docs/01-app/03-api-reference/05-config/02-typescript.mdx	532	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/03-eslint.mdx	385	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/index.mdx	4	0	app/api-reference
A		docs/01-app/03-api-reference/06-cli/create-next-app.mdx	111	0	app/api-reference
